seed_length,seed_width,groove_width,class
5.763,3.312,5.22,0
5.554,3.333,4.956,0
5.291,3.337,4.825,0
5.324,3.379,4.805,0
5.658,3.562,5.175,0
5.386,3.312,4.956,0
5.563,3.259,5.219,0
5.42,3.302,5,0
6.053,3.465,5.877,0
5.884,3.505,5.533,0
5.714,3.242,5.314,0
5.438,3.201,5.001,0
5.439,3.199,4.738,0
5.479,3.156,4.872,0
5.482,3.114,4.825,0
5.351,3.333,4.781,0
5.119,3.383,4.781,0
5.527,3.514,5.046,0
5.205,3.466,4.649,0
5.226,3.049,4.914,0
5.658,3.129,5.176,0
5.52,3.168,5.219,0
5.618,3.507,5.091,0
5.099,2.936,4.961,0
5.789,3.245,5.001,0
5.833,3.421,5.307,0
5.395,3.026,4.825,0
5.395,2.956,4.869,0
5.541,3.221,5.038,0
5.516,3.065,5.097,0
5.454,2.975,5.056,0
5.757,3.371,5.228,0
5.717,3.186,5.299,0
5.585,3.15,5.012,0
5.712,3.328,5.36,0
5.709,3.485,5.443,0
5.826,3.464,5.527,0
5.832,3.683,5.484,0
5.656,3.288,5.309,0
5.397,3.298,5.001,0
5.348,3.156,5.178,0
5.351,3.158,5.176,0
5.138,3.201,4.783,0
5.877,3.396,5.528,0
5.579,3.462,5.18,0
5.376,3.155,4.961,0
5.701,3.393,5.132,0
5.57,3.377,5.175,0
5.545,3.291,5.111,0
5.678,3.258,5.351,0
5.585,3.272,5.144,0
5.674,3.434,5.136,0
5.715,3.113,5.396,0
5.504,3.199,5.224,0
5.741,3.113,5.487,0
5.702,3.212,5.439,0
5.388,3.377,5.044,0
5.384,3.412,5.088,0
5.662,3.419,5.222,0
5.159,3.032,4.519,0
5.008,2.85,4.607,0
4.902,2.879,4.703,0
5.076,3.042,4.605,0
5.395,3.07,5.088,0
5.262,3.026,4.782,0
5.139,3.119,4.607,0
5.63,3.19,5.15,0
5.609,3.158,5.132,0
5.569,3.153,5.3,0
5.412,2.882,5.067,0
6.191,3.561,6.06,1
5.998,3.484,5.877,1
5.978,3.594,5.791,1
6.154,3.93,6.079,1
6.017,3.486,5.841,1
5.927,3.438,5.795,1
6.064,3.403,5.922,1
6.579,3.814,6.451,1
6.445,3.639,6.362,1
5.85,3.566,5.746,1
5.875,3.467,5.88,1
6.006,3.857,5.879,1
6.285,3.864,6.187,1
6.384,3.772,6.273,1
6.366,3.801,6.185,1
6.173,3.651,6.197,1
6.084,3.764,6.109,1
6.549,3.67,6.498,1
6.573,4.033,6.231,1
6.45,4.032,6.321,1
6.581,3.785,6.449,1
6.172,3.796,6.053,1
6.272,3.693,6.053,1
6.037,3.86,5.877,1
6.666,3.485,6.448,1
6.139,3.463,5.967,1
6.341,3.81,6.238,1
6.449,3.552,6.453,1
6.271,3.512,6.273,1
6.219,3.684,6.097,1
5.718,3.525,5.618,1
5.89,3.694,5.837,1
6.113,3.892,6.009,1
6.369,3.681,6.229,1
6.248,3.755,6.148,1
6.037,3.786,5.879,1
6.152,3.806,6.2,1
6.033,3.573,5.929,1
6.675,3.763,6.55,1
6.153,3.674,5.894,1
